index,question,type,n_options,answer
52,"Translate into Esperanto: The young boy is not sleeping, but the big dog is.",short_answer,0.0,"""La juna knabo ne dormas, sed la granda hundo dormas."""
53,Logical sentence completion: Anna kaj Sofia estas…,multiple_choice,4.0,"""…virinoj."""
54,Logical sentence completion: …helpas.,multiple_choice,4.0,"""La rapida virino…"""
55,True/false: La elefantoj estas malgrandaj.,boolean,2.0,"""Malvera"""
56,Survey: I was not comfortable using the tools,likert,4.0,"""Disagree"""
57,Survey: I was very familiar with the tools from previous experience,likert,4.0,"""Disagree"""
58,Survey: The tools were highly effective,likert,4.0,"""Disagree"""
59,Survey: I used the tools intensively to solve practice questions,likert,4.0,"""Disagree"""
60,Survey: I believe using the tools is equivalent to cheating,likert,4.0,"""Disagree"""
61,Survey: I think the tools helped me a lot in understanding the material,likert,4.0,"""Disagree"""
62,Survey: I used the tools mostly to get the answer to the practice questions,likert,4.0,"""Disagree"""
63,Survey: Using the tools did not make me feel engaged with the material,likert,4.0,"""Disagree"""
64,Survey: I felt confident in my ability to use the tool,likert,4.0,"""Disagree"""
65,Survey: I felt like the tools allowed me to explore the topics at a deep level,likert,4.0,"""Disagree"""
66,Survey: I put minimal effort into solving practice questions,likert,4.0,"""Disagree"""
67,Survey: I felt afraid of becoming over‑reliant on the tool to solve the questions,likert,4.0,"""Disagree"""
68,Survey: I was highly motivated to solve the questions,likert,4.0,"""Disagree"""
69,Survey: I feel I was prepared enough for the test,likert,4.0,"""Disagree"""
70,Survey: I found the test to be quite difficult for the level of the lecture and practice questions,likert,4.0,"""Disagree"""
71,Survey: I was highly motivated to solve the test,likert,4.0,"""Disagree"""
72,Thoughts on using ChatGPT: I was confident in formulating clear and effective prompts,likert,4.0,"""Disagree"""
73,Thoughts on using ChatGPT: ChatGPT did not provide useful examples to learn from,likert,4.0,"""Disagree"""
74,Thoughts on using ChatGPT: More encouragement to use AI in school would make me more likely to use it,likert,4.0,"""Disagree"""
75,Thoughts on using ChatGPT: I am worried that relying on AI tools might make me lazy or less capable,likert,4.0,"""Disagree"""
76,Thoughts on using ChatGPT: I feel like ChatGPT hindered my learning of Esperanto,likert,4.0,"""Disagree"""
77,Would you have preferred to also have access to Google Search and Google Translate during this session?,multiple_choice,3.0,"""Yes"""
78,Would clearer guidelines on how to use the tools you were allowed to use improve your comfort and learning outcomes?,multiple_choice,2.0,"""No"""
79,"If given a choice, which tool would you prefer to use for learning in the future?",multiple_choice,3.0,"""AI tools like ChatGPT"""
80,"What challenges, if any, did you face while using the tools provided in this study?",short_answer,0.0,"""No challenges"""
81,Is there anything else you’d like to share about your experience in this study?,short_answer,0.0,"""No"""
